"Date","Scenario","Run","Commit","Seconds","CpuAvg","CpuMax","GpuCounters","GpuAvg","GpuMax","RamAvgMB","RamMaxMB","Media","SecondProcess","SecondCpuAvg","SecondCpuMax","SecondRamAvgMB","SecondRamMaxMB"
"2026-08-17 00:05","repos-aucun-wallpaper-fenetre-fermee","0","806bb29","61","0,03","0,38","on","","","64","64","controle sonde GPU (issue #25 §6), pas un passage officiel","","","","",""
"2026-08-17 00:06","repos-aucun-wallpaper-fenetre-fermee","0","806bb29","60","0,01","0,38","off","","","64","64","controle sonde GPU (issue #25 §6), pas un passage officiel","","","","",""
"2026-08-17 00:07","repos-aucun-wallpaper-fenetre-fermee","1","806bb29","61","0","0","on","","","64","64","","","","","",""
"2026-08-17 00:08","repos-aucun-wallpaper-fenetre-fermee","2","806bb29","60","0","0","on","","","64","64","","","","","",""
"2026-08-17 00:09","repos-aucun-wallpaper-fenetre-fermee","3","806bb29","61","0","0","on","","","65","65","","","","","",""
"2026-08-17 00:10","image-fixe-fenetre-fermee","1","806bb29","62","0","0","on","0","0","189","189","tools/bench-media/image-fixe-reference.jpg (1920x1080, synthétique)","","","","",""
"2026-08-17 00:11","image-fixe-fenetre-fermee","2","806bb29","62","0","0","on","0","0","183","193","tools/bench-media/image-fixe-reference.jpg (1920x1080, synthétique)","","","","",""
"2026-08-17 00:12","image-fixe-fenetre-fermee","3","806bb29","62","0","0","on","0","0","182","185","tools/bench-media/image-fixe-reference.jpg (1920x1080, synthétique)","","","","",""
"2026-08-17 00:14","webp-cache-chaud-fenetre-fermee","1","806bb29","62","0,46","1,93","on","24,42","25,54","233","263","tools/bench-media/webp-reference.webp (1280x720, 20fps, ~6s/120 frames, synthétique)","","","","",""
"2026-08-17 00:15","webp-cache-chaud-fenetre-fermee","2","806bb29","62","0,61","1,33","on","24,27","25,7","232","282","tools/bench-media/webp-reference.webp (1280x720, 20fps, ~6s/120 frames, synthétique)","","","","",""
"2026-08-17 00:16","webp-cache-chaud-fenetre-fermee","3","806bb29","62","0,51","1,52","on","24,25","25,69","232","260","tools/bench-media/webp-reference.webp (1280x720, 20fps, ~6s/120 frames, synthétique)","","","","",""
"2026-08-17 00:17","mp4-1080p-fenetre-fermee","1","806bb29","62","0,39","1,14","on","51,77","53,41","318","373","tools/bench-media/mp4-1080p-reference.mp4 (1920x1080, 30fps, 10s, h264, synthétique)","","","","",""
"2026-08-17 00:18","mp4-1080p-fenetre-fermee","2","806bb29","62","0,33","1,13","on","51,61","53,17","316","405","tools/bench-media/mp4-1080p-reference.mp4 (1920x1080, 30fps, 10s, h264, synthétique)","","","","",""
"2026-08-17 00:19","mp4-1080p-fenetre-fermee","3","806bb29","62","0,37","1,32","on","51,36","52,91","318","408","tools/bench-media/mp4-1080p-reference.mp4 (1920x1080, 30fps, 10s, h264, synthétique)","","","","",""
"2026-08-17 00:20","image-fixe-fenetre-ouverte","1","806bb29","62","0,52","6,87","on","0","0,11","273","279","tools/bench-media/image-fixe-reference.jpg (1920x1080, synthétique)","","","","",""
"2026-08-17 00:21","image-fixe-fenetre-ouverte","2","806bb29","62","0,39","7,29","on","0","0","260","268","tools/bench-media/image-fixe-reference.jpg (1920x1080, synthétique)","","","","",""
"2026-08-17 00:22","image-fixe-fenetre-ouverte","3","806bb29","62","0,4","6,58","on","0","0","265","269","tools/bench-media/image-fixe-reference.jpg (1920x1080, synthétique)","","","","",""
"2026-08-17 00:24","mp4-pause-manuelle-fenetre-fermee","1","806bb29","60","0","0","on","0","0","380","383","tools/bench-media/mp4-1080p-reference.mp4 (1920x1080, 30fps, 10s, h264, synthétique)","","","","",""
"2026-08-17 00:25","mp4-pause-manuelle-fenetre-fermee","2","806bb29","62","0","0","on","0","0","378","473","tools/bench-media/mp4-1080p-reference.mp4 (1920x1080, 30fps, 10s, h264, synthétique)","","","","",""
"2026-08-17 00:26","mp4-pause-manuelle-fenetre-fermee","3","806bb29","62","0","0","on","0","0","378","474","tools/bench-media/mp4-1080p-reference.mp4 (1920x1080, 30fps, 10s, h264, synthétique)","","","","",""
"2026-08-17 00:26","conversion-ffmpeg","1","806bb29","21","1,68","10,21","on","23,54","24,77","331","393","tools/bench-media/webp-reference.webp (1280x720, 20fps, ~6s/120 frames, synthétique)","ffmpeg","34,98","34,98","148","148"
"2026-08-17 00:26","conversion-ffmpeg","2","806bb29","21","0,76","2,45","on","24,21","26","315","347","tools/bench-media/webp-reference.webp (1280x720, 20fps, ~6s/120 frames, synthétique)","ffmpeg","","","",""
"2026-08-17 00:27","conversion-ffmpeg","3","806bb29","21","1,18","3,46","on","23,78","25,26","308","323","tools/bench-media/webp-reference.webp (1280x720, 20fps, ~6s/120 frames, synthétique)","ffmpeg","29,95","29,95","149","149"
